@RELATION subjective_occupancy_prediction
@ATTRIBUTE userId STRING
@ATTRIBUTE transportType {METRO,TRAIN}
@ATTRIBUTE timestamp NUMERIC
@ATTRIBUTE dayOfWeek {1,2,3,4,5,6,7}
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE isWeekend {0,1}
@ATTRIBUTE isRushHour {0,1}
@ATTRIBUTE latitude NUMERIC
@ATTRIBUTE longitude NUMERIC
@ATTRIBUTE bluetoothCount NUMERIC
@ATTRIBUTE bt_signal_1 NUMERIC
@ATTRIBUTE bt_signal_2 NUMERIC
@ATTRIBUTE bt_signal_3 NUMERIC
@ATTRIBUTE bt_signal_4 NUMERIC
@ATTRIBUTE bt_signal_5 NUMERIC
@ATTRIBUTE wifiCount NUMERIC
@ATTRIBUTE wf_signal_1 NUMERIC
@ATTRIBUTE wf_signal_2 NUMERIC
@ATTRIBUTE wf_signal_3 NUMERIC
@ATTRIBUTE wf_signal_4 NUMERIC
@ATTRIBUTE wf_signal_5 NUMERIC
@ATTRIBUTE latencyAvg NUMERIC
@ATTRIBUTE latencyStdDev NUMERIC
@ATTRIBUTE packetLoss NUMERIC
@ATTRIBUTE rsrp NUMERIC
@ATTRIBUTE rssnr NUMERIC
@ATTRIBUTE rsrq NUMERIC
@ATTRIBUTE subjectiveRating {1,2,3,4,5}

@DATA
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779354524077,4,10,0,0,38.7725716,-9.0980654,0,?,?,?,?,?,0,-52,-57,-85,?,?,131.16,154.54373620435092,0.0,-102,11,-7,5
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779354595979,4,10,0,0,38.7683539,-9.0980654,0,?,?,?,?,?,7,-51,-59,-77,-85,-87,75.82,75.38515503731487,0.0,-83,16,-9,5
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779354628477,4,10,0,0,38.7675075,-9.0985373,168,-50,-50,-51,-54,-57,10,-48,-59,-73,-77,-84,40.36,19.11466452752964,0.0,-83,16,-9,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779354660896,4,10,0,0,38.7673913,-9.0988605,126,-45,-45,-51,-52,-55,14,-59,-59,-67,-73,-74,222.14000000000001,262.7225350060402,0.0,-79,11,-8,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779354693359,4,10,0,0,38.7630885,-9.0996623,103,-47,-48,-48,-49,-52,17,-57,-59,-67,-73,-74,31.3,20.80557617563138,0.0,-79,11,-8,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779354725730,4,10,0,0,38.7561182,-9.1003832,96,-44,-46,-50,-50,-51,39,-53,-59,-67,-73,-74,55.86,68.0712156494946,0.0,-101,10,-10,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779354758327,4,10,0,0,38.7468145,-9.1028453,98,-44,-48,-52,-53,-53,45,-56,-59,-67,-73,-74,30.74,16.32416613490564,0.0,-104,10,-9,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779354790572,4,10,0,0,38.7401956,-9.1053411,91,-51,-52,-53,-54,-55,46,-52,-59,-67,-73,-74,40.3,35.90782644494094,0.0,-112,5,-9,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779354823054,4,10,0,0,38.7347075,-9.1074932,94,-48,-49,-49,-49,-50,47,-58,-59,-67,-73,-74,34.28,23.2331142983458,0.0,-95,23,-10,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779354855567,4,10,0,0,38.7302409,-9.1098239,91,-46,-48,-50,-52,-53,47,-59,-60,-67,-73,-74,52.779999999999994,24.03350993924941,0.0,-110,-7,-9,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779354887875,4,10,0,0,38.7236261,-9.1137048,98,-46,-47,-49,-51,-53,47,-58,-59,-67,-73,-74,40.98,18.506798750729416,0.0,-92,5,-11,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779354920323,4,10,0,0,38.7201421,-9.1165019,98,-52,-52,-52,-52,-53,52,-56,-59,-67,-68,-69,42.98,28.725556565539332,0.0,-92,5,-11,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779354952838,4,10,0,0,38.7186006,-9.1178552,97,-49,-51,-54,-54,-54,53,-52,-59,-67,-68,-69,24.419999999999998,1.9124852940611063,0.0,-97,-2,-9,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779354985432,4,10,0,0,38.7180636,-9.1185049,127,-48,-49,-49,-51,-51,79,-49,-59,-67,-68,-69,38.300000000000004,3.2049960998416216,0.0,-99,4,-11,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779355018003,4,10,0,0,38.7163615,-9.1202449,155,-42,-47,-47,-47,-50,100,-47,-59,-62,-67,-68,36.72,18.983297922120908,0.0,-95,16,-8,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779300769324,3,19,0,1,38.768168,-9.0991756,168,-46,-50,-51,-51,-52,6,-47,-81,-85,-85,-86,52.7,25.008718479762212,0.0,-81,12,-10,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779300801633,3,19,0,1,38.7750119,-9.0990885,125,-53,-55,-55,-56,-56,9,-41,-79,-79,-80,-81,52.32000000000001,24.432552056631337,0.0,-86,-3,-10,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779300834083,3,19,0,1,38.7775992,-9.0996108,118,-42,-50,-54,-59,-60,9,-46,-79,-79,-80,-81,52.94,19.32527878194775,0.0,-109,1,-12,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779300866573,3,19,0,1,38.7778009,-9.0994995,126,-34,-49,-58,-58,-60,17,-48,-79,-79,-80,-81,64.2,28.358913942533132,0.0,-109,1,-12,3
c2bf9ee7-ddfa-44df-8f73-b11227bb6b05-v16-api36,TRAIN,1779300899077,3,19,0,1,38.7797392,-9.0998182,137,-43,-51,-52,-55,-55,20,-52,-79,-79,-79,-80,105.1,80.35481317257853,0.0,-123,-12,-15,3
